id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights
2539,Brooklyn,Kensington,Private room,149,1
2595,Manhattan,Midtown,Entire home/apt,225,1
3647,Manhattan,Harlem,Private room,150,3
3831,Brooklyn,Clinton Hill,Entire home/apt,89,1
5022,Manhattan,East Harlem,Entire home/apt,80,10
5099,Manhattan,Murray Hill,Entire home/apt,200,3
5121,Brooklyn,Bedford-Stuyvesant,Private room,60,45
5178,Manhattan,Hell's Kitchen,Private room,79,2
5203,Manhattan,Upper West Side,Private room,79,2
5238,Manhattan,Chinatown,Entire home/apt,150,1
5295,Manhattan,Upper West Side,Entire home/apt,135,5
5441,Manhattan,Hell's Kitchen,Private room,85,2
5803,Brooklyn,South Slope,Private room,89,4
6021,Manhattan,Upper West Side,Private room,85,2
6090,Manhattan,West Village,Entire home/apt,120,90
6848,Brooklyn,Williamsburg,Entire home/apt,140,2
7097,Brooklyn,Fort Greene,Entire home/apt,215,2
7322,Manhattan,Chelsea,Private room,140,1
7726,Brooklyn,Crown Heights,Entire home/apt,99,3
7750,Manhattan,East Harlem,Entire home/apt,190,7
7801,Brooklyn,Williamsburg,Entire home/apt,299,3
8024,Brooklyn,Park Slope,Private room,130,2
8025,Brooklyn,Park Slope,Private room,80,1
8110,Brooklyn,Park Slope,Private room,110,2
8490,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2
8505,Brooklyn,Windsor Terrace,Private room,60,1
8700,Manhattan,Inwood,Private room,80,4
9357,Manhattan,Hell's Kitchen,Entire home/apt,150,10
9518,Manhattan,Inwood,Private room,44,3
9657,Manhattan,East Village,Entire home/apt,180,14
9668,Manhattan,Harlem,Private room,50,3
9704,Manhattan,Harlem,Private room,52,2
9782,Brooklyn,Greenpoint,Private room,55,4
9783,Manhattan,Harlem,Private room,50,3
10452,Brooklyn,Bedford-Stuyvesant,Private room,70,1
10962,Brooklyn,South Slope,Private room,89,4
11452,Brooklyn,Bedford-Stuyvesant,Private room,35,60
11708,Brooklyn,Bushwick,Entire home/apt,85,2
11943,Brooklyn,Flatbush,Private room,150,1
12048,Manhattan,Lower East Side,Shared room,40,1
12192,Manhattan,East Village,Private room,68,2
12299,Brooklyn,South Slope,Entire home/apt,120,3
12303,Brooklyn,Fort Greene,Private room,120,7
12318,Manhattan,Upper West Side,Private room,135,4
12343,Manhattan,Harlem,Entire home/apt,150,7
12627,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,150,29
12937,Queens,Long Island City,Private room,130,3
12940,Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,7
13050,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3
13394,Brooklyn,Fort Greene,Private room,80,3
13808,Brooklyn,Bedford-Stuyvesant,Private room,80,1
14287,Manhattan,Upper West Side,Entire home/apt,151,2
14290,Brooklyn,Williamsburg,Entire home/apt,228,3
14314,Brooklyn,Greenpoint,Entire home/apt,144,2
14322,Manhattan,Kips Bay,Entire home/apt,200,7
14377,Brooklyn,Williamsburg,Entire home/apt,150,30
14991,Manhattan,Lower East Side,Private room,110,5
15220,Manhattan,Hell's Kitchen,Private room,69,2
15338,Brooklyn,Greenpoint,Private room,49,4
15341,Manhattan,SoHo,Entire home/apt,180,30
15385,Brooklyn,Williamsburg,Private room,80,2
15396,Manhattan,Chelsea,Entire home/apt,375,180
15711,Manhattan,Upper East Side,Entire home/apt,250,2
16326,Brooklyn,Prospect Heights,Entire home/apt,200,30
16338,Brooklyn,Clinton Hill,Private room,55,7
16421,Manhattan,Hell's Kitchen,Private room,52,30
16458,Brooklyn,Park Slope,Entire home/apt,225,3
16580,Manhattan,East Village,Private room,80,1
16595,Brooklyn,Williamsburg,Entire home/apt,275,1
16821,Manhattan,East Village,Private room,99,1
16974,Manhattan,East Harlem,Entire home/apt,225,4
17037,Manhattan,East Village,Entire home/apt,230,9
17092,Manhattan,Hell's Kitchen,Private room,51,7
17693,Manhattan,Washington Heights,Private room,65,2
17747,Brooklyn,Clinton Hill,Private room,105,2
18127,Manhattan,East Village,Entire home/apt,190,5
18152,Manhattan,Upper East Side,Private room,200,1
18198,Queens,Woodside,Private room,70,30
18590,Brooklyn,Fort Greene,Private room,95,3
18728,Manhattan,Chelsea,Private room,150,3
18764,Brooklyn,Williamsburg,Private room,145,3
19159,Manhattan,Harlem,Entire home/apt,110,31
19169,Manhattan,Lower East Side,Entire home/apt,285,5
19282,Brooklyn,Flatbush,Entire home/apt,130,6
19319,Manhattan,Lower East Side,Private room,94,30
19601,Brooklyn,Brooklyn Heights,Entire home/apt,800,1
19812,Brooklyn,Williamsburg,Entire home/apt,105,3
20299,Manhattan,East Village,Private room,60,3
20300,Manhattan,East Village,Private room,50,1
20611,Brooklyn,Williamsburg,Private room,85,3
20724,Brooklyn,Bushwick,Private room,65,4
20734,Brooklyn,Prospect Heights,Entire home/apt,131,4
20755,Brooklyn,Clinton Hill,Private room,98,7
20853,Brooklyn,Prospect Heights,Entire home/apt,250,7
20913,Brooklyn,Williamsburg,Entire home/apt,100,5
21293,Brooklyn,Bushwick,Entire home/apt,105,3
21456,Manhattan,Upper West Side,Entire home/apt,140,3
21644,Manhattan,Harlem,Private room,89,1
21794,Manhattan,Chelsea,Private room,98,30
22911,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,7
22918,Manhattan,Harlem,Private room,60,3
23135,Brooklyn,Carroll Gardens,Entire home/apt,175,2
23501,Manhattan,Washington Heights,Private room,65,2
23686,Manhattan,West Village,Entire home/apt,500,4
24143,Brooklyn,Williamsburg,Private room,101,3
24285,Brooklyn,Park Slope,Entire home/apt,220,30
25235,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,90
25406,Brooklyn,Williamsburg,Entire home/apt,80,30
25696,Manhattan,Harlem,Private room,100,2
